ID,Start time,Completion time,Email,Name,How many hours a week do you currently work and/or attend class?,How many people do you currently live with?,How many hours a week do you currently spend on making or fixing things as a hobby?,Do you have pets? How many?,Do you feel like you decide how your day goes?,How many hours a week do you currently spend studying outside of class?,How many hours a week do you currently spend socializing with your social inner circle?,Do you currently work from home?,How many hours a week do you currently spend exercising?,"At the end of the week, do you feel like you have more or less things on your To-do list?",Do you feel that the quarantine has made you more or less connected to others?,How old are you?,"How many hours a week do you currently spend socializing with people who aren't in your inner circle, outside of work/class?",How do you feel going throughout your day?,How many hours a night do you sleep?,"Do you feel that the quarantine has resulted in spending more or less time talking with your boss, teachers, and work peers?",Do you feel like you decide what’s on your To-do list?,How many hours a day do you spend outside?,"Do you currently feel like you are more rested, or overworked?",How many hours a week do you spend reading something you enjoy?,.,How many hours a week are accounted for?,What is the average Outlook score?,What was the completion time?
1,5/12/20 14:33:34,5/12/20 14:36:26,anonymous,,40,1,4,3,6,2,1,Yes,1,Less,3,30,1,6,7,Less,6,0.5,6,2,,14.8,5.4,0:02:52
2,5/12/20 14:34:43,5/12/20 14:37:32,anonymous,,30,5,5,1,8,25,5,Yes,5,More,2,30,2,7,8,Less,5,1,6,10,,20.7,5.6,0:02:49
3,5/12/20 14:34:29,5/12/20 14:38:41,anonymous,,40,2,0,0,9,20,3,Yes,2,No Change,5,27,1,8,8,No Change,9,1.5,2,1,,19.1,6.6,0:04:12
4,5/12/20 14:41:40,5/12/20 14:44:30,anonymous,,40,3,5,1,7,10,5,Yes,5,More,6,36,0,6,6,Less,7,2,8,6,,18.1,6.8,0:02:50
5,5/12/20 14:41:24,5/12/20 14:53:32,anonymous,,35,1,30,2,6,20,5,Yes,5,No Change,3,43,0,5,7,Less,7,0,5,8,,21.7,5.2,0:12:08
6,5/12/20 14:51:46,5/12/20 14:56:31,anonymous,,40,1,2,0,6,10,4,No,3,No Change,5,61,0,5,7.5,No Change,9,1,6,4,,17.5,6.2,0:04:45
7,5/12/20 14:37:22,5/12/20 15:10:38,anonymous,,35,0,2,0,9,6,8,No,8,More,10,29,1,6,8,More,8,10,5,1,,26.7,7.6,0:33:16
8,5/12/20 15:34:01,5/12/20 15:36:25,anonymous,,35,2,5,2,8,3,5,Yes,4,No Change,5,29,0,5,8,Less,8,2,3,6,,18.3,5.8,0:02:24
9,5/12/20 15:48:06,5/12/20 15:50:39,anonymous,,70,1,0,2,3,15,6,Yes,4,More,4,30,0,4,5,Less,4,2,6,2,,20.9,4.2,0:02:33
10,5/12/20 16:15:54,5/12/20 16:18:10,anonymous,,50,2,5,0,5,5,10,Yes,5,More,5,34,2,5,7,More,3,5,7,2,,23.3,5,0:02:16
11,5/12/20 16:18:09,5/12/20 16:21:53,anonymous,,40,4,0,0,8,6,4,Yes,7,Less,3,41,0,6,8,Less,8,0,5,6,,17.0,6,0:03:44
12,5/12/20 18:23:13,5/12/20 18:25:50,anonymous,,40,5,0,2,2,5,0,No,0,More,4,32,0,2,4.5,No Change,3,0.5,9,0,,11.4,4,0:02:37
13,5/12/20 21:07:55,5/12/20 21:09:50,anonymous,,52,2,0,1,8,5,1,Yes,5,Less,2,35,0,6,9,More,7,1,6,6,,19.9,5.8,0:01:55
14,5/12/20 21:07:21,5/12/20 21:12:23,anonymous,,52,2,0,0,3,8,1,Yes,2,More,5,0,0,9,5,No Change,7,0,8,2,,14.3,6.4,0:05:02
15,5/12/20 21:09:11,5/12/20 21:13:11,anonymous,,54,1,3,1,7,4,0,Yes,0,Less,5,38,0,3,8,Less,7,0.5,3,0,,17.2,5,0:04:00
16,5/12/20 21:11:57,5/12/20 21:14:32,anonymous,,12,4,1,0,10,15,4,No,0,More,5,39,0,3,5,Less,10,1,10,0,,10.6,7.6,0:02:35
17,5/12/20 21:07:47,5/12/20 21:14:52,anonymous,,15,3,5,1,7,25,3,No,7,No Change,2,50,0,5,8,Less,5,10,7,4,,26.4,5.2,0:07:05
18,5/12/20 21:13:33,5/12/20 21:16:19,anonymous,,40,1,0,0,8,20,0,Yes,2,No Change,5,52,0,7,7,No Change,10,2,2,5,,18.6,6.4,0:02:46
19,5/12/20 21:13:32,5/12/20 21:17:21,anonymous,,65,3,0,6,6,2,0,Yes,0,More,5,34,0,8,6,More,3,0,9,0,,15.6,6.2,0:03:49
20,5/12/20 21:08:15,5/12/20 21:19:09,anonymous,,60,3,2,1,5,15,2,Yes,5,More,5,51,0,2,4,Less,7,1,10,0,,17.0,5.8,0:10:54
21,5/12/20 21:15:19,5/12/20 21:20:13,anonymous,,50,5,1,0,10,20,4,No,0,More,3,33,0,7,8,No Change,10,0,10,0,,18.7,8,0:04:54
22,5/12/20 21:13:34,5/12/20 21:22:52,anonymous,,52,0,12,0,10,15,5,No,10,More,8,37,0,2,8,More,10,2,10,0,,23.4,8,0:09:18
23,5/12/20 21:21:18,5/12/20 21:23:38,anonymous,,35,1,0,1,6,5,0,Yes,1,No Change,2,42,0,4,8,Less,6,1,6,0,,14.9,4.8,0:02:20
